2024-11-09 01:13:14,660 - client.client - INFO - Initializing YADTQ Client
2024-11-09 01:13:14,660 - client.client2024-11-09 01:13:14,674 - result_backend.redis_backend - INFO - Fetching result for task fed6f178-0b23-4b84-a7fe-a9ccd777497e
2024-11-09 01:13:14,677 - result_backend.redis_backend - WARNING - Result for task fed6f178-0b23-4b84-a7fe-a9ccd777497e not found.
2024-11-09 01:13:14,689 - result_backend.redis_backend - INFO - Fetching result for task fed6f178-0b23-4b84-a7fe-a9ccd777497e
2024-11-09 01:13:14,694 - result_backend.redis_backend - WA2024-11-09 01:13:14,698 - broker.broker - DEBUG - Attempting to send tas2024-11-09 01:13:14,711 - result_backend.redis_backend - INFO - Fetching result for task 58cb282d-09aa-4c3f-a35b-7217b419f29a
2024-11-09 01:13:14,711 - result_backend.redis_backend - WARNING - Result for task 58cb282d-09aa-4c3f-a35b-7217b419f29a not found.
2024-11-09 01:13:14,711 - result_backend.redis_backend - INFO - Fetching result f2024-11-09 01:13:14,711 - broker.broker - DEBUG - Attempting to send task {'task_id': '9a381ab3-d6a7-4ecd-af76-798a333989db', 'task_type': 'multiply', 'args': {'a': 7, 'b': 8}}2024-11-09 01:13:14,719 - result_backend.redis_backend - INFO - Fetching result for task 9a381ab3-d6a7-4ecd-af76-798a333989db
2024-11-09 01:13:14,719 - result_backend.redis_backend - WARNING - Result for task 9a381ab3-d6a7-4ecd-af2024-11-09 01:13:14,719 - broker.broker - DEBUG - Attempting to send task {'task_id': 'fb0c156a-eaa7-493f-9cec-712ea8f3c8fa', 'task_type': 'add', 'args': {'a': 15, 'b': 25}} to Kafka topic: task_queue
2024-11-09 01:13:14,725 - broker.broker - INFO - Successfully sent task {'task_id':2024-11-09 01:13:14,725 - result_backend.redis_backend - INFO - Fetching result for task fb0c156a-eaa7-493f-9cec-7122024-11-09 01:13:14,730 - broker.broker - DEBUG - Attempting to send task {'task_id': '1b4167d0-f224-43bd-9d2f-904a1897aad1', 'task_type': 'subtract', 'args': {'a': 60, 'b': 40}} to Kafka topic: task_queue
2024-11-09 01:13:14,744 - broker.broker - INFO - Successfully sent task {'task_id': '1b4167d0-f224-43bd-9d2f-904a1897aad1', 'task_type': 'subtract', 'args': {'a': 60, 'b': 40}} t2024-11-09 01:13:14,745 - 2024-11-09 01:13:14,746 - broker.broker - DEBUG - Attempting to send task {'task_id': '10df4daf-23b5-49b9-a14a-0d86af422216', 'task_type': 'multiply', 'args': {'a': 12, 'b': 4}} to Kafka topic: task_queue
2024-11-09 01:13:14,767 - broker.broker - INFO - Successfully sent task {'task_id': '10df4daf-23b5-49b9-a14a-0d86af422216', 'task_type': 'multiply', 'args': {'a': 12, 'b': 4}} to Kafka topic: task_queue
2024-11-09 01:13:14,768 - broker.broker - DEBUG - Attempting to send task {'task_id': '78e88266-1967-4337-bf42-cef05f9dac24', 'task_type': 'add', 'args': {'a': 22, 'b': 18}} to Kafka topic: task_queue
2024-11-09 01:13:14,773 - broker.broker - INFO - Successfully sent task {'task_id': '78e88266-1967-4337-bf42-cef05f9dac24', 'task_type': 'add', 'args': {'a': 22, 'b': 18}} to Kafka topic: task_queue
2024-11-09 01:13:14,774 - broker.broker - DEBUG - Attempting to send task {'task_id': '4e845ec6-7510-4c4d-9e83-ab7f937f461a', 'task_type': 'subtract', 'args': {'a': 80, 'b': 50}} to Kafka topic: task_queue
2024-11-09 01:13:14,778 - broker.broker - INFO - Successfully sent task {'task_id': '4e845ec6-7510-4c4d-9e83-ab7f937f461a', 'task_type': 'subtract', 'args': {'a': 80, 'b': 50}} to Kafka topic: task_queue
2024-11-09 01:13:14,793 - broker.broker - DEBUG - Attempting to send task {'task_id': '08b59df1-8c52-48c4-a3bc-c4bd0015885a', 'task_type': 'multiply', 'args': {'a': 5, 'b': 9}} to Kafka topic: task_queue
2024-11-09 01:13:14,807 - broker.broker - INFO - Successfully sent task {'task_id': '08b59df1-8c52-48c4-a3bc-c4bd0015885a', 'task_type': 'multiply', 'args': {'a': 5, 'b': 9}} to Kafka topic: task_queue
2024-11-09 01:13:14,808 - broker.broker - DEBUG - Attempting to send task {'task_id': '3fc2015e-a4d6-4f47-bf3d-4d39bca6d0f5', 'task_type': 'add', 'args': {'a': 100, 'b': 200}} to Kafka topic: task_queue
2024-11-09 01:13:14,833 - broker.broker - INFO - Successfully sent task {'task_id': '3fc2015e-a4d6-4f47-bf3d-4d39bca6d0f5', 'task_type': 'add', 'args': {'a': 100, 'b': 200}} to Kafka topic: task_queue
2024-11-09 01:13:14,834 - broker.broker - DEBUG - Attempting to send task {'task_id': 'c7a7b7b2-9628-4032-affb-ab728da400f3', 'task_type': 'subtract', 'args': {'a': 40, 'b': 25}} to Kafka topic: task_queue
2024-11-09 01:13:14,836 - broker.broker - INFO - Successfully sent task {'task_id': 'c7a7b7b2-9628-4032-affb-ab728da400f3', 'task_type': 'subtract', 'args': {'a': 40, 'b': 25}} to Kafka topic: task_queue
2024-11-09 01:13:14,838 - broker.broker - DEBUG - Attempting to send task {'task_id': '9e1acda8-5a56-43ee-b3e6-f8f0691fded5', 'task_type': 'multiply', 'args': {'a': 13, 'b': 3}} to Kafka topic: task_queue
2024-11-09 01:13:14,842 - broker.broker - INFO - Successfully sent task {'task_id': '9e1acda8-5a56-43ee-b3e6-f8f0691fded5', 'task_type': 'multiply', 'args': {'a': 13, 'b': 3}} to Kafka topic: task_queue
2024-11-09 01:13:14,844 - broker.broker - DEBUG - Attempting to send task {'task_id': '921ac7f6-9919-4d23-b512-0a840d2162fa', 'task_type': 'add', 'args': {'a': 3, 'b': 7}} to Kafka topic: task_queue
2024-11-09 01:13:14,875 - broker.broker - INFO - Successfully sent task {'task_id': '921ac7f6-9919-4d23-b512-0a840d2162fa', 'task_type': 'add', 'args': {'a': 3, 'b': 7}} to Kafka topic: task_queue
2024-11-09 01:13:14,876 - broker.broker - DEBUG - Attempting to send task {'task_id': '889f54ba-d17a-429a-8832-e24933897b73', 'task_type': 'subtract', 'args': {'a': 90, 'b': 10}} to Kafka topic: task_queue
2024-11-09 01:13:14,880 - broker.broker - INFO - Successfully sent task {'task_id': '889f54ba-d17a-429a-8832-e24933897b73', 'task_type': 'subtract', 'args': {'a': 90, 'b': 10}} to Kafka topic: task_queue
2024-11-09 01:13:14,886 - broker.broker - DEBUG - Attempting to send task {'task_id': '1df769c4-8359-4cfd-846b-d64a6d04d8d3', 'task_type': 'multiply', 'args': {'a': 15, 'b': 15}} to Kafka topic: task_queue
2024-11-09 01:13:14,914 - broker.broker - INFO - Successfully sent task {'task_id': '1df769c4-8359-4cfd-846b-d64a6d04d8d3', 'task_type': 'multiply', 'args': {'a': 15, 'b': 15}} to Kafka topic: task_queue
